GroupCode,MachCode,status,duration
A1                            ,4,False,0 days 05:37:46.000000000
A1                            ,4,True,0 days 07:35:39.000000000
A1                            ,5,False,0 days 07:30:20.000000000
A1                            ,5,True,0 days 06:23:44.000000000
A1                            ,6,False,0 days 03:56:14.000000000
A1                            ,6,True,0 days 08:01:46.000000000
A1                            ,7,False,0 days 03:53:07.000000000
A1                            ,7,True,0 days 09:54:51.000000000
A1                            ,8,False,0 days 05:19:45.000000000
A1                            ,8,True,0 days 07:24:32.000000000
A1                            ,9,False,0 days 02:43:08.000000000
A1                            ,9,True,0 days 10:34:01.000000000
A1                            ,10,False,0 days 02:54:31.000000000
A1                            ,10,True,0 days 10:38:51.000000000
A1                            ,11,False,0 days 03:07:17.000000000
A1                            ,11,True,0 days 10:19:36.000000000
A1                            ,12,False,0 days 01:50:13.000000000
A1                            ,12,True,0 days 11:52:33.000000000
A1                            ,14,False,0 days 01:48:04.000000000
A1                            ,14,True,0 days 10:40:50.000000000
A1                            ,15,False,0 days 01:06:04.000000000
A1                            ,15,True,0 days 12:09:48.000000000
A1                            ,16,False,0 days 04:11:08.000000000
A1                            ,16,True,0 days 09:25:53.000000000
A1                            ,17,False,0 days 01:16:03.000000000
A1                            ,17,True,0 days 11:12:16.000000000
A1                            ,18,False,0 days 00:14:45.000000000
A1                            ,18,True,0 days 13:29:34.000000000
A1                            ,19,False,0 days 01:23:15.000000000
A1                            ,19,True,0 days 12:28:29.000000000
A1                            ,20,False,0 days 04:50:23.000000000
A1                            ,20,True,0 days 06:18:30.000000000
A1                            ,21,False,0 days 01:13:45.000000000
A1                            ,21,True,0 days 10:01:56.000000000
A1                            ,22,False,0 days 00:21:52.000000000
A1                            ,22,True,0 days 09:47:08.000000000
A1                            ,23,False,0 days 02:12:29.000000000
A1                            ,23,True,0 days 09:32:33.000000000
A1                            ,24,False,0 days 01:56:31.000000000
A1                            ,24,True,0 days 10:49:19.000000000
A1                            ,25,False,0 days 00:20:16.000000000
A1                            ,25,True,0 days 11:17:40.000000000
A1                            ,26,False,0 days 00:37:08.000000000
A1                            ,26,True,0 days 11:57:56.000000000
A1                            ,27,False,0 days 03:22:32.000000000
A1                            ,27,True,0 days 09:05:54.000000000
A1                            ,28,False,0 days 01:45:26.000000000
A1                            ,28,True,0 days 11:52:10.000000000
A1                            ,29,False,0 days 01:02:57.000000000
A1                            ,29,True,0 days 12:38:28.000000000
A1                            ,30,False,0 days 01:49:28.000000000
A1                            ,30,True,0 days 10:03:03.000000000
A1                            ,31,False,0 days 00:41:05.000000000
A1                            ,31,True,0 days 11:46:47.000000000
A1                            ,32,False,0 days 00:28:05.000000000
A1                            ,32,True,0 days 12:20:49.000000000
A2                            ,33,False,0 days 10:48:59.000000000
A2                            ,36,False,0 days 07:22:28.000000000
A2                            ,36,True,0 days 06:18:54.000000000
A2                            ,37,False,0 days 03:04:16.000000000
A2                            ,37,True,0 days 09:39:44.000000000
A2                            ,38,False,0 days 03:04:31.000000000
A2                            ,38,True,0 days 09:26:14.000000000
A2                            ,39,False,0 days 03:23:54.000000000
A2                            ,39,True,0 days 08:50:56.000000000
A2                            ,40,False,0 days 04:00:31.000000000
A2                            ,40,True,0 days 09:51:57.000000000
A2                            ,41,False,0 days 02:21:08.000000000
A2                            ,41,True,0 days 10:42:31.000000000
A2                            ,42,False,0 days 09:14:09.000000000
A2                            ,42,True,0 days 04:21:40.000000000
A2                            ,43,False,0 days 01:02:12.000000000
A2                            ,43,True,0 days 11:48:49.000000000
A2                            ,44,False,0 days 01:22:58.000000000
A2                            ,44,True,0 days 10:13:08.000000000
A2                            ,45,False,0 days 01:52:57.000000000
A2                            ,45,True,0 days 11:32:41.000000000
A2                            ,46,False,0 days 02:03:07.000000000
A2                            ,46,True,0 days 10:56:28.000000000
A2                            ,47,False,0 days 01:02:30.000000000
A2                            ,47,True,0 days 12:12:15.000000000
A2                            ,48,False,0 days 01:57:21.000000000
A2                            ,48,True,0 days 11:18:04.000000000
A2                            ,49,False,0 days 00:17:00.000000000
A2                            ,49,True,0 days 11:27:55.000000000
A2                            ,50,False,0 days 00:20:32.000000000
A2                            ,50,True,0 days 13:34:50.000000000
A2                            ,51,False,0 days 02:39:06.000000000
A2                            ,51,True,0 days 10:14:59.000000000
A2                            ,52,False,0 days 00:21:31.000000000
A2                            ,52,True,0 days 12:36:26.000000000
A2                            ,53,False,0 days 00:39:53.000000000
A2                            ,53,True,0 days 11:39:23.000000000
A2                            ,54,False,0 days 01:28:48.000000000
A2                            ,54,True,0 days 12:17:14.000000000
A2                            ,55,False,0 days 01:01:18.000000000
A2                            ,55,True,0 days 12:31:03.000000000
A2                            ,56,False,0 days 04:13:03.000000000
A2                            ,56,True,0 days 09:41:58.000000000
A2                            ,57,False,0 days 11:23:53.000000000
A2                            ,57,True,0 days 02:08:46.000000000
A2                            ,58,False,0 days 00:25:04.000000000
A2                            ,58,True,0 days 12:07:05.000000000
A2                            ,59,False,0 days 04:52:17.000000000
A2                            ,59,True,0 days 08:20:36.000000000
A2                            ,60,False,0 days 00:55:15.000000000
A2                            ,60,True,0 days 12:25:58.000000000
A2                            ,61,False,0 days 00:32:08.000000000
A2                            ,61,True,0 days 10:27:32.000000000
A2                            ,62,False,0 days 03:04:22.000000000
A2                            ,62,True,0 days 08:54:17.000000000
A2                            ,63,False,0 days 00:04:16.000000000
A2                            ,63,True,0 days 11:41:14.000000000
A2                            ,64,False,0 days 01:31:17.000000000
A2                            ,64,True,0 days 11:57:34.000000000
B1                            ,1,False,0 days 02:24:05.000000000
B1                            ,1,True,0 days 01:48:52.000000000
B1                            ,2,False,0 days 04:22:45.000000000
B1                            ,2,True,0 days 08:17:27.000000000
B1                            ,5,False,0 days 00:07:53.000000000
B1                            ,5,True,0 days 03:15:25.000000000
B1                            ,6,False,0 days 04:24:52.000000000
B1                            ,6,True,0 days 08:46:07.000000000
B1                            ,7,False,0 days 02:11:10.000000000
B1                            ,7,True,0 days 06:56:39.000000000
B1                            ,8,False,0 days 01:04:45.000000000
B1                            ,8,True,0 days 08:04:35.000000000
B1                            ,9,False,0 days 04:24:05.000000000
B1                            ,9,True,0 days 04:45:09.000000000
B1                            ,10,False,0 days 04:45:14.000000000
B1                            ,10,True,0 days 07:43:44.000000000
B1                            ,11,False,0 days 06:23:07.000000000
B1                            ,11,True,0 days 01:05:47.000000000
B1                            ,12,False,0 days 06:49:27.000000000
B1                            ,12,True,0 days 04:36:17.000000000
B1                            ,13,False,0 days 07:57:20.000000000
B1                            ,13,True,0 days 02:43:23.000000000
B1                            ,14,False,0 days 06:38:37.000000000
B1                            ,14,True,0 days 05:08:20.000000000
B1                            ,15,False,0 days 07:24:32.000000000
B1                            ,15,True,0 days 03:38:08.000000000
B1                            ,16,False,0 days 07:24:57.000000000
B1                            ,16,True,0 days 03:31:12.000000000
B2                            ,33,False,0 days 02:11:44.000000000
B2                            ,33,True,0 days 10:53:39.000000000
B2                            ,34,False,0 days 05:47:12.000000000
B2                            ,34,True,0 days 02:32:28.000000000
B2                            ,37,False,0 days 03:32:05.000000000
B2                            ,37,True,0 days 03:52:05.000000000
B2                            ,38,False,0 days 02:49:35.000000000
B2                            ,38,True,0 days 06:45:06.000000000
B2                            ,39,False,0 days 01:38:13.000000000
B2                            ,39,True,0 days 07:59:30.000000000
B2                            ,40,False,0 days 01:53:43.000000000
B2                            ,40,True,0 days 08:11:11.000000000
C1                            ,1,False,0 days 02:22:06.000000000
C1                            ,1,True,0 days 10:19:43.000000000
C1                            ,2,False,0 days 01:00:47.000000000
C1                            ,2,True,0 days 11:55:42.000000000
C1                            ,4,False,0 days 02:31:57.000000000
C1                            ,4,True,0 days 11:04:18.000000000
C1                            ,5,False,0 days 03:32:59.000000000
C1                            ,5,True,0 days 10:20:17.000000000
C1                            ,6,False,0 days 02:37:36.000000000
C1                            ,6,True,0 days 11:04:45.000000000
C1                            ,7,False,0 days 03:12:19.000000000
C1                            ,7,True,0 days 09:52:12.000000000
C1                            ,8,False,0 days 03:38:11.000000000
C1                            ,8,True,0 days 07:50:38.000000000
C1                            ,9,False,0 days 08:02:46.000000000
C1                            ,9,True,0 days 04:20:56.000000000
C1                            ,10,False,0 days 08:05:59.000000000
C1                            ,10,True,0 days 04:35:55.000000000
C1                            ,11,False,0 days 01:26:02.000000000
C1                            ,11,True,0 days 02:28:39.000000000
C1                            ,12,False,0 days 00:08:57.000000000
C1                            ,12,True,0 days 04:01:47.000000000
C1                            ,13,False,0 days 04:24:09.000000000
C1                            ,13,True,0 days 07:46:55.000000000
C1                            ,14,False,0 days 04:00:47.000000000
C1                            ,14,True,0 days 02:21:56.000000000
C1                            ,15,False,0 days 04:02:56.000000000
C1                            ,15,True,0 days 01:58:29.000000000
C1                            ,16,False,0 days 03:52:19.000000000
C1                            ,16,True,0 days 02:22:10.000000000
C1                            ,17,False,0 days 01:49:07.000000000
C1                            ,17,True,0 days 11:40:01.000000000
C1                            ,18,False,0 days 02:21:37.000000000
C1                            ,18,True,0 days 10:40:14.000000000
C1                            ,19,False,0 days 00:31:04.000000000
